駅名,人数(2017),人数(2018),人数(2020),人数(2021),営業キロ
新宿,499919,521160,516876,317845,0
南新宿,3782,4023,3977,3153,0.8
参宮橋,15626,15423,14612,8834,1.5
代々木八幡,20541,20386,20580,15560,2.7
代々木上原,255378,276210,283238,190176,3.5
東北沢,6523,7071,7335,5596,4.2
下北沢,114922,118869,121739,82821,4.9
世田谷代田,8150,8828,9348,7061,5.6
梅ヶ丘,32408,33805,34064,19535,6.3
豪徳寺,26724,28149,28656,21101,7
経堂,76363,80941,82540,57253,8
千歳船橋,57112,60091,60683,44739,9.2
祖師ヶ谷大蔵,48170,50982,51085,33774,10.6
成城学園前,88727,89856,88692,58614,11.6
喜多見,33662,34418,34207,25497,12.7
狛江,46431,48346,48921,36661,13.8
和泉多摩川,15923,15831,15751,11667,14.4
登戸,162422,167383,167685,117994,15.2
向ヶ丘遊園,66684,67518,67384,41442,15.8
生田,45735,45765,46037,29489,17.9
読売ランド前,35412,36374,36082,25932,19.2
百合ヶ丘,21293,21650,21681,17214,20.5
新百合ヶ丘,125659,128565,128155,91516,21.5
柿生,37413,38270,37634,28163,23.4
鶴川,69224,69239,68992,46377,25.1
玉川学園前,48216,47990,46581,26876,27.9
町田,291802,293572,289419,200781,30.8
相模大野,129096,130078,127169,87835,32.3
小田急相模原,56153,57597,57496,43632,34.7
相武台前,39399,40372,40324,29688,36.9
座間,21613,21200,20833,15742,39.2
海老名,148434,153713,152370,102399,42.5
厚木,21098,20449,20287,14964,44.1
本厚木,153562,154698,151791,97984,45.4
愛甲石田,52110,54476,54602,34670,48.5
伊勢原,51909,52773,51705,36216,52.2
鶴巻温泉,15021,15126,14963,11003,55.9
東海大学前,41306,39974,38909,18421,57
秦野,43026,42986,42011,29678,61.7
渋沢,28547,28021,27175,19960,65.6
新松田,24546,24088,22946,16447,71.8
開成,11033,11414,12350,9830,74.3
栢山,9287,8921,8589,6474,76.2
富水,6850,6808,6796,5080,77.8
螢田,6428,6246,6059,4762,79.2
足柄,3877,3984,3893,3408,80.8
小田原,66612,65927,62396,41803,82.5
